Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%],lat,lon,elevation_m,gps_bearing,gps_speed_ms,gps_fix
08:19:47.605,22,,,,,,,,,,12.9121506,74.9002204,24.0,339.5,0.3,0
08:19:47.696,22,98.0,,,,,,,,,12.9121503,74.9002203,24.1,339.7,0.302,0
08:19:47.785,22,98.0,0.0,,,,,,,,12.91215,74.9002203,24.2,339.8,0.303,0
08:19:47.875,22,98.0,0.0,0.0,,,,,,,12.9121497,74.9002203,24.2,340.0,0.304,0
08:19:47.965,22,98.0,0.0,0.0,15.0,,,,,,12.9121494,74.9002202,24.3,340.1,0.306,0
08:19:48.057,22,98.0,0.0,0.0,15.0,0.88,,,,,12.9121491,74.9002202,24.4,340.3,0.308,0
08:19:48.145,22,98.0,0.0,0.0,15.0,0.88,89.0,,,,12.9121488,74.9002201,24.5,340.4,0.309,0
08:19:48.235,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,,,12.9121486,74.9002201,24.5,340.6,0.31,0
08:19:48.325,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,14.1,,12.9121483,74.9002201,24.6,340.7,0.312,0
08:19:48.415,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,14.1,14.5,12.912148,74.90022,24.7,340.9,0.313,0
08:19:48.506,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,14.1,14.5,12.9121477,74.90022,24.8,341.0,0.315,0
08:19:48.595,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,14.1,14.5,12.9121474,74.9002199,24.8,341.2,0.316,0
08:19:48.686,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,14.1,14.5,12.9121471,74.9002199,24.9,341.3,0.318,0
08:19:48.775,22,98.0,0.0,0.0,15.0,0.88,89.0,17.0,14.1,14.5,12.9121468,74.9002199,25.0,341.5,0.319,0
08:19:48.865,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121466,74.9002198,25.1,341.7,0.321,0
08:19:48.955,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121463,74.9002198,25.1,341.8,0.322,0
08:19:49.045,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.912146,74.9002197,25.2,342.0,0.324,0
08:19:49.135,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121457,74.9002197,25.3,342.1,0.325,0
08:19:49.225,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121454,74.9002197,25.3,342.3,0.327,0
08:19:49.315,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121451,74.9002196,25.4,342.4,0.328,0
08:19:49.405,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121448,74.9002196,25.5,342.6,0.33,0
08:19:49.495,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121446,74.9002196,25.6,342.7,0.331,0
08:19:49.603,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121442,74.9002195,25.7,342.9,0.333,0
08:19:49.675,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.912144,74.9002195,25.7,343.0,0.334,0
08:19:49.765,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121437,74.9002194,25.8,343.2,0.336,0
08:19:49.856,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121434,74.9002194,25.9,343.3,0.338,0
08:19:49.946,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121431,74.9002194,26.0,343.5,0.339,0
08:19:50.036,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121428,74.9002193,26.0,343.7,0.341,0
08:19:50.125,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121426,74.9002193,26.1,343.8,0.342,0
08:19:50.215,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121423,74.9002192,26.2,344.0,0.343,0
08:19:50.306,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.912142,74.9002192,26.3,344.1,0.345,0
08:19:50.396,22,98.0,0.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121417,74.9002192,26.3,344.3,0.347,0
08:19:50.486,22,98.0,193.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121414,74.9002191,26.4,344.4,0.348,0
08:19:50.576,22,98.0,193.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121411,74.9002191,26.5,344.6,0.35,0
08:19:50.666,22,98.0,193.0,0.0,16.0,0.88,89.0,17.0,14.1,14.5,12.9121408,74.900219,26.6,344.7,0.351,0
